leistung,rechtsnorm,zielgruppen,themenfelder,category,sub_category,zielgruppe1,zielgruppe2,themenfeld1,themenfeld2
"Krankenbehandlung, Versorgung 0 bis 11-Jähriger mit nicht verschreibungspflichtigen Arzneimitteln.","§ 34 Abs. 1 Ausgeschlossene Arznei- , Heil- und Hilfsmittel SGB V",['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Krankenbehandlung, Versorgung entwicklungsgestörter 11 bis 17-Jähriger mit nicht verschreibungspflichtigen Arzneimitteln.","§ 34 Abs. 1 Ausgeschlossene Arznei- , Heil- und Hilfsmittel SGB V",['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Krankenbehandlung, allgemeine ambulante Palliativversorgung.",§ 37 Abs. 2b Häusliche Krankenpflege SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Krankenbehandlung, häusliche Krankenpflege.",§ 37 Häusliche Krankenpflege SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Krankenbehandlung, Soziotherapie.",§ 37a Soziotherapie SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Krankenbehandlung, spezialisierte ambulante Palliativversorgung.",§ 37b Spezialisierte ambulante Palliativversorgung SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Krankenbehandlung, außerklinische Intensivpflege.",§ 37c Außerklinische Intensivpflege SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Krankenbehandlung, Haushaltshilfe.",§ 38 Haushaltshilfe SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Krankenbehandlung, Krankenhausbehandlung.",§ 39 Krankenhausbehandlung SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Krankenbehandlung, Zuschuss zu stationären und ambulanten Hospizleistungen.",§ 39a Stationäre und ambulante Hospizleistungen SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Krankenbehandlung, Hospiz- und Palliativberatung durch die Krankenkassen.",§ 39b Hospiz- und Palliativberatung durch die Krankenkassen SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Krankenbehandlung, Kurzzeitpflege bei fehlender Pflegebedürftigkeit.",§ 39c Kurzzeitpflege bei fehlender Pflegebedürftigkeit SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Krankenbehandlung, Übergangspflege im Krankenhaus.",§ 39e Übergangspflege im Krankenhaus SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Krankenbehandlung, ambulante Rehabilitationsleistungen durch die Krankenkasse.",§ 40 Abs. 1 Leistungen zur medizinischen Rehabilitation SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Krankenbehandlung, stationäre Rehabilitationsleistungen durch die Krankenkasse.",§ 40 Abs. 2 Leistungen zur medizinischen Rehabilitation SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Krankenbehandlung, medizinische Mutter, Vater- Kind Rehabilitation.",§ 41 Medizinische Rehabilitation für Mütter und Väter SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Krankenbehandlung, Belastungserprobung zum Arbeitswiedereintritt.",§ 42 Belastungserprobung und Arbeitstherapie SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Krankenbehandlung, Arbeitstherapie.",§ 42 Belastungserprobung und Arbeitstherapie SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Krankenbehandlung, ergänzende Rehabilitationsleistungen für Behinderte in Trägerschaft der Krankenkassen.",§ 43 Abs. 1 S. 1 Ergänzende Leistungen zur Rehabilitation SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Krankenbehandlung, Patientenschulungsmaßnahmen in Trägerschaft der Krankenkassen.",§ 43 Abs. 1 S. 2 Ergänzende Leistungen zur Rehabilitation SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Krankenbehandlung, Sozialmedizinische Nachsorgemaßnahmen für chronisch kranke oder schwerstkranke 0 bis 13 Jährige.",§ 43 Abs. 2 Ergänzende Leistungen zur Rehabilitation SGB V,"['Kinder', 'Jugendliche']","['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Kinder,Jugendliche,"Gesundheit, Pflege",Teilhabe
"Krankenbehandlung, Sozialmedizinische Nachsorgemaßnahmen für chronisch kranke oder schwerstkranke 0 bis 18 Jährige (in besonders schweren Fällen).",§ 43 Abs. 2 Ergänzende Leistungen zur Rehabilitation SGB V,['Jugendliche'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jugendliche,,"Gesundheit, Pflege",Teilhabe
"Krankenbehandlung, nichtärztliche sozialpädiatrische Leistungen für Kinder: psychologische Leistungen.",§ 43a Abs. 1 Nichtärztliche sozialpädiatrische Leistungen SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Krankenbehandlung, nichtärztliche sozialpädiatrische Leistungen für Kinder: heilpädagogische Leistungen.",§ 43a Abs. 1 Nichtärztliche sozialpädiatrische Leistungen SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Krankenbehandlung, nichtärztliche sozialpädiatrische Leistungen für Kinder: psychosoziale Leistungen.",§ 43a Abs. 1 Nichtärztliche sozialpädiatrische Leistungen SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Krankenbehandlung, nichtärztliche sozialpädiatrische Leistungen für Kinder: psychiatrische Behandlung.",§ 43a Abs. 2 Nichtärztliche sozialpädiatrische Leistungen SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Krankenbehandlung, nichtärztliche Leistungen für Erwachsene mit geistiger Behinderung oder schweren Mehrfachbehinderungen: psychologische Leistungen.",§ 43b Nichtärztliche Leistungen für Erwachsene mit geistiger Behinderung oder schweren Mehrfachbehinderungen SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Krankenbehandlung, nichtärztliche Leistungen für Erwachsene mit geistiger Behinderung oder schweren Mehrfachbehinderungen: therapeutische Leistungen.",§ 43b Nichtärztliche Leistungen für Erwachsene mit geistiger Behinderung oder schweren Mehrfachbehinderungen SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Krankenbehandlung, nichtärztliche Leistungen für Erwachsene mit geistiger Behinderung oder schweren Mehrfachbehinderungen: psychosoziale Leistungen.",§ 43b Nichtärztliche Leistungen für Erwachsene mit geistiger Behinderung oder schweren Mehrfachbehinderungen SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Krankenbehandlung, nichtärztliche Leistungen für Erwachsene mit geistiger Behinderung oder schweren Mehrfachbehinderungen: Behandlungsplan samt Leistungskoordination.",§ 43b Nichtärztliche Leistungen für Erwachsene mit geistiger Behinderung oder schweren Mehrfachbehinderungen SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Leistungen bei Krankheit, Krankengeld bei eigener Krankheit.",§ 44 Krankengeld SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Leistungen bei Krankheit, Krankengeld bei Spende von Organen, Geweben oder Blut zur Separation von Blutbestandteilen.","§ 44a Krankengeld bei Spende von Organen, Geweben oder Blut zur Separation von Blutstammzellen oder anderen Blutbestandteilen SGB V",['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Leistungen bei Krankheit, Krankengeld für eine bei stationärer Behandlung mitaufgenommene Begleitperson aus dem engsten persönlichen Umfeld.",§ 44b Krankengeld für eine bei stationärer Behandlung mitaufgenommene Begleitperson aus dem engsten persönlichen Umfeld SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Leistungen bei Krankheit, Krankengeld bei Erkrankung des Kindes.",§ 45 Krankengeld bei Erkrankung des Kindes SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Leistungen bei Krankheit, Krankengeld statt Arbeitslosengeld.","§ 47b Abs. 1 Höhe und Berechnung des Krankengeldes bei Beziehern von Arbeitslosengeld, Unterhaltsgeld, Kurzarbeitergeld oder Qualifizierungsgeld SGB V","['Erwerbsalter', 'Jugendliche']","['Gesundheit, Pflege & Teilhabe', 'Arbeit & Grundsicherung']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Erwerbsalter,Jugendliche,"Gesundheit, Pflege",Teilhabe
"Leistungen bei Krankheit, Krankengeld statt Unterhaltsgeld.","§ 47b Abs. 1 Höhe und Berechnung des Krankengeldes bei Beziehern von Arbeitslosengeld, Unterhaltsgeld, Kurzarbeitergeld oder Qualifizierungsgeld SGB V","['Erwerbsalter', 'Jugendliche']","['Gesundheit, Pflege & Teilhabe', 'Arbeit & Grundsicherung']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Erwerbsalter,Jugendliche,"Gesundheit, Pflege",Teilhabe
"Leistungen bei Krankheit, Krankengeld statt Kurzarbeitergeld.","§ 47b Abs. 2 Höhe und Berechnung des Krankengeldes bei Beziehern von Arbeitslosengeld, Unterhaltsgeld, Kurzarbeitergeld oder Qualifizierungsgeld SGB V","['Erwerbsalter', 'Jugendliche']","['Gesundheit, Pflege & Teilhabe', 'Arbeit & Grundsicherung']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Erwerbsalter,Jugendliche,"Gesundheit, Pflege",Teilhabe
"Leistungen bei Krankheit, Krankengeld statt Qualifizierungsgeld.","§ 47b Abs. 2 Höhe und Berechnung des Krankengeldes bei Beziehern von Arbeitslosengeld, Unterhaltsgeld, Kurzarbeitergeld oder Qualifizierungsgeld SGB V","['Erwerbsalter', 'Jugendliche']","['Gesundheit, Pflege & Teilhabe', 'Arbeit & Grundsicherung']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Erwerbsalter,Jugendliche,"Gesundheit, Pflege",Teilhabe
"Leistungen hinsichtlich der Versicherungsbedingungen, Anspruch auf jährlich geltende Wahltarife.",§ 53 Wahltarife SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Leistungen für Zahnersatz, Festzuschüsse zu Zahnersatz einschließlich Zahnkronen und Suprakonstruktionen.",§ 55 Abs. 1 Leistungsanspruch SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Leistungen für Zahnersatz, erhöhte Festzuschüsse zu Zahnersatz bei regelmäßiger Inanspruchnahme von Untersuchungen.",§ 55 Abs. 1 Leistungsanspruch SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Leistungen für Zahnersatz, erhöhte Festzuschüsse zu Zahnersatz bei unzumutbarer Belastung.",§ 55 Abs. 2 Leistungsanspruch SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Leistungen für Transport, Verlegungsfahrten zwischen Krankenhäusern.",§ 60 Abs. 2 S. 1 Fahrkosten SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Leistungen für Transport, Rettungsfahrten zum Krankenhaus.",§ 60 Abs. 2 S. 2 Fahrkosten SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Leistungen für Transport, Fahrten zur Vermeidung vollstationärer Versorgung.",§ 60 Abs. 2 S. 2 Fahrkosten SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Leistungen für Transport, Krankentransport.",§ 60 Abs. 2 S. 3 Fahrkosten SGB V,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB V,Leistungen der gesetzlichen Krankenversicherungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Medizinische Rehabilitation für Erwerbstätigkeit, Medizinische Leistungen durch Rehabilitationseinrichtungen.",§ 15 Leistungen zur medizinischen Rehabilitation SGB VI,['Jedes Alter'],['Alter & Rente / Versorgung'],SGB VI,Gesundheit und Rehabilitation,Jedes Alter,,Alter,Rente / Versorgung
"Medizinische Rehabilitation, Nachsorgeleistungen und Rehabilitation für Kinder von Versicherten oder Rentenbeziehern, Mitaufnahme einer Begleitperson oder Familienangehörigen.",§ 15a Leistungen zur Kinderrehabilitation SGB VI,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe', 'Alter & Rente / Versorgung']",SGB VI,Gesundheit und Rehabilitation,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Teilhabe am Arbeitsleben, im Eingangsverfahren und im Berufsbildungsbereich der Werkstätten für behinderte Menschen.",§ 16 Leistungen zur Teilhabe am Arbeitsleben SGB VI,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB VI,Rentenversicherung,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Übergangsgeld, finanzielle Unterstützung (Übergangsgeld) während der Inanspruchnahme von Leistungen zur Prävention, medizinischen Rehabilitation, Teilhabe am Arbeitsleben, Nachsorge oder sonstigen Leistungen zur Teilhabe, falls diese sonstige Tätigkeiten ausschließen.",§ 20 Anspruch SGB VI,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB VI,Rentenversicherung,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Leistungen zur Teilhabe, Ergänzung des Übergangsgeldes.",§ 28 Ergänzende Leistungen SGB VI,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB VI,Rentenversicherung,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Leistungen zur Teilhabe, Eingliederung von Versicherten in das Erwerbsleben.",§ 31 Sonstige Leistungen SGB VI,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB VI,Rentenversicherung,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Rente wegen Alters, Regelaltersrente, wenn entsprechende Vorausetzungen erfüllt sind.","§ 35 Regelaltersrente SGB VI, § 235 Regelaltersrente SGB VI",['Senior/-innen'],['Alter & Rente / Versorgung'],SGB VI,Rentenversicherung,Senior/-innen,,Alter,Rente / Versorgung
"Rente für langjährig Versicherte, Altersrente für langjährig Versicherte.","§ 36 Altersrente für langjährig Versicherte SGB VI , § 236 Altersrente für langjährig Versicherte SGB VI",['Senior/-innen'],['Alter & Rente / Versorgung'],SGB VI,Rentenversicherung,Senior/-innen,,Alter,Rente / Versorgung
"Altersrente für schwerbehinderte Menschen, Anspruch auf Altersrente.","§ 37 Altersrente für schwerbehinderte Menschen SGB VI, § 236a Altersrente für schwerbehinderte Menschen SGB VI",['Senior/-innen'],"['Alter & Rente / Versorgung', 'Gesundheit, Pflege & Teilhabe']",SGB VI,Rentenversicherung,Senior/-innen,,Alter,Rente / Versorgung
"Altersrente, Anspruch auf Altersrente für besonders langjährig Versicherte.","§ 38 Altersrente für besonders langjährig Versicherte SGB VI, § 236b Altersrente für besonders langjährig Versicherte SGB VI",['Senior/-innen'],['Alter & Rente / Versorgung'],SGB VI,Rentenversicherung,Senior/-innen,,Alter,Rente / Versorgung
"Altersrente für langjährig unter Tage beschäftigte Bergleute, Anspruch auf Altersrente für langjährig unter Tage beschäftigte Bergleute.","§ 40 Altersrente für langjährig unter Tage beschäftigte Bergleute SGB VI, § 238 Altersrente für langjährig unter Tage beschäftigte Bergleute SGB VI",['Senior/-innen'],['Alter & Rente / Versorgung'],SGB VI,Rentenversicherung,Senior/-innen,,Alter,Rente / Versorgung
"Altersrente, Rente wegen Alters in voller Höhe oder als Teilrente in Höhe von mindestens 10 Prozent der Vollrente.",§ 42 Vollrente und Teilrente SGB VI,['Senior/-innen'],['Alter & Rente / Versorgung'],SGB VI,Rentenversicherung,Senior/-innen,,Alter,Rente / Versorgung
"Rente wegen teilweiser oder voller Erwerbsminderung, finanzielle Unterstützung für Versicherte, die aufgrund von Krankheit oder Behinderung teilweise oder voll erwerbsgemindert sind und bestimmte Voraussetzungen erfüllen.",§ 43 Rente wegen Erwerbsminderung SGB VI,['Senior/-innen'],['Alter & Rente / Versorgung'],SGB VI,Rentenversicherung,Senior/-innen,,Alter,Rente / Versorgung
"Rente für Bergleute, im Fall von Krankheit oder Behinderung nicht mehr in der Lage, ihre bisherige Arbeit auszuüben, oder das 50. Lebensjahr vollendet haben und eine wirtschaftlich gleichwertige Beschäftigung nicht mehr ausüben können.",§ 45 Rente für Bergleute SGB VI,['Senior/-innen'],['Alter & Rente / Versorgung'],SGB VI,Rentenversicherung,Senior/-innen,,Alter,Rente / Versorgung
"Witwenrente und Witwerrente, Unterstützung für Witwen oder Witwer nach dem Tod des versicherten Ehegatten.",§ 46 Witwenrente und Witwerrente SGB VI,['Senior/-innen'],['Alter & Rente / Versorgung'],SGB VI,Rentenversicherung,Senior/-innen,,Alter,Rente / Versorgung
"Erziehungsrente, Rente für geschiedene oder verwitwete Ehegatten, die ein Kind erziehen und bestimmte weitere Bedingungen erfüllen.",§ 47 Erziehungsrente SGB VI,['Senior/-innen'],['Alter & Rente / Versorgung'],SGB VI,Rentenversicherung,Senior/-innen,,Alter,Rente / Versorgung
"Halb- oder Vollwaisenrente, Finanzielle Unterstützung für Kinder nach dem Tod eines oder beider Elternteile.",§ 48 Waisenrente SGB VI,['Senior/-innen'],['Alter & Rente / Versorgung'],SGB VI,Rentenversicherung,Senior/-innen,,Alter,Rente / Versorgung
"Rentenleistung bei Verschollenheit, Auszahlung, wenn Ehegatten, geschiedene Ehegatten oder Elternteile verschollen sind und die Umstände ihren Tod wahrscheinlich machen.",§ 49 Renten wegen Todes bei Verschollenheit SGB VI,['Senior/-innen'],['Alter & Rente / Versorgung'],SGB VI,Rentenversicherung,Senior/-innen,,Alter,Rente / Versorgung
"Kindererziehungzeiten, Erziehung eines Kindes in dessen ersten drei Lebensjahren, die angerechnet werden, um die spätere Rente aufzubessern.",§ 56 Kindererziehungszeiten SGB VI,['Senior/-innen'],['Alter & Rente / Versorgung'],SGB VI,Rentenversicherung,Senior/-innen,,Alter,Rente / Versorgung
"Zuschläge, durchgeführtes Rentensplitting wird beim Versicherten durch Zuschläge oder Abschläge an Entgeltpunkten berücksichtigt",§ 76c Zuschläge oder Abschläge beim Rentensplitting SGB VI,['Senior/-innen'],['Alter & Rente / Versorgung'],SGB VI,Rentenversicherung,Senior/-innen,,Alter,Rente / Versorgung
"Zuschläge, Ermittlung von Zuschlägen an Entgeltpunkten aus Beiträgen nach Beginn einer Rente wegen Alters.",§ 76d Zuschläge an Entgeltpunkten aus Beiträgen nach Beginn einer Rente wegen Alters SGB VI,['Senior/-innen'],['Alter & Rente / Versorgung'],SGB VI,Rentenversicherung,Senior/-innen,,Alter,Rente / Versorgung
"Zuschläge, Zuschläge an Entgeltpunkten betragen für jeden Kalendermonat der besonderen Auslandsverwendung 0,18 Entgeltpunkte, wenn diese Zeiten jeweils ununterbrochen mindestens 30 Tage gedauert haben.",§ 76e Zuschläge an Entgeltpunkten für Zeiten einer besonderen Auslandsverwendung SGB VI,['Senior/-innen'],['Alter & Rente / Versorgung'],SGB VI,Rentenversicherung,Senior/-innen,,Alter,Rente / Versorgung
"Zuschläge, Ermittlung von Zuschlägen an Entgeltpunkten aus Beiträgen für beitragspflichtige Einnahmen von nachversicherten Soldaten auf Zeit.",§ 76f Zuschläge an Entgeltpunkten für nachversicherte Soldaten auf Zeit SGB VI,['Senior/-innen'],['Alter & Rente / Versorgung'],SGB VI,Rentenversicherung,Senior/-innen,,Alter,Rente / Versorgung
"Zuschläge, Ermittlung bei mindestens 33 Jahren mit Grundrentenzeiten und sich aus den Kalendermonaten mit Grundrentenbewertungszeiten ein Durchschnittswert an Entgeltpunkten ergibt, der unter dem nach Absatz 4 maßgebenden Höchstwert liegt.",§ 76g Zuschlag an Entgeltpunkten für langjährige Versicherung SGB VI,['Senior/-innen'],['Alter & Rente / Versorgung'],SGB VI,Rentenversicherung,Senior/-innen,,Alter,Rente / Versorgung
"Waisenrente, finanzielle Unterstützung für Kinder, deren Eltern verstorben sind.",§ 78 Zuschlag bei Waisenrenten SGB VI,['Senior/-innen'],['Alter & Rente / Versorgung'],SGB VI,Rentenversicherung,Senior/-innen,,Alter,Rente / Versorgung
"Witwenrente und Witwerrente, Zuschlag an persönlichen Entgeltpunkten, der sich nach der Dauer der Erziehung von Kindern bis zur Vollendung ihres dritten Lebensjahres richtet.",§ 78a Zuschlag bei Witwenrenten und Witwerrenten SGB VI,['Senior/-innen'],['Alter & Rente / Versorgung'],SGB VI,Rentenversicherung,Senior/-innen,,Alter,Rente / Versorgung
"Rente für Bergleute, zusätzliche Entgeltpunkte für die Rentenversicherung, basierend auf der Anzahl der Jahre, die unter Tage gearbeitet wurden.",§ 85 Entgeltpunkte für ständige Arbeiten unter Tage SGB VI,['Senior/-innen'],['Alter & Rente / Versorgung'],SGB VI,Rentenversicherung,Senior/-innen,,Alter,Rente / Versorgung
"Gesundheits- und Pflegeleistungen, Zuschuss zu den Aufwendungen für die Krankenversicherung für Rentenbezieher, die freiwillig in der gesetzlichen Krankenversicherung oder bei einem Krankenversicherungsunternehmen versichert sind.",§ 106 Zuschuss zur Krankenversicherung SGB VI,['Senior/-innen'],"['Gesundheit, Pflege & Teilhabe']",SGB VI,Rentenversicherung,Senior/-innen,,"Gesundheit, Pflege",Teilhabe
"Witwenrente und Witwerrente, finanzielle Unterstützung für Witwen oder Witwer. Bei einer Wiederheirat wird eine Abfindung in Höhe des 24-fachen Monatsbetrags der Rente ausgezahlt.",§ 107 Rentenabfindung SGB VI,['Senior/-innen'],['Alter & Rente / Versorgung'],SGB VI,Rentenversicherung,Senior/-innen,,Alter,Rente / Versorgung
"Altersrente, finanzielle Unterstützung für Versicherte, die das 60. Lebensjahr vollendet haben und bestimmte Voraussetzungen erfüllen.",§ 237 Altersrente wegen Arbeitslosigkeit oder nach Altersteilzeitarbeit SGB VI,['Senior/-innen'],['Alter & Rente / Versorgung'],SGB VI,Rentenversicherung,Senior/-innen,,Alter,Rente / Versorgung
"Altersrente für Frauen, finanzielle Unterstützung für Frauen.",§ 237a Altersrente für Frauen SGB VI,['Senior/-innen'],['Alter & Rente / Versorgung'],SGB VI,Rentenversicherung,Senior/-innen,,Alter,Rente / Versorgung
"Knappschaftsausgleichsleistung, Übergangszahlung für ältere Bergleute, die nach dem Ausscheiden aus dem aktiven Bergbau und vor dem regulären Renteneintrittsalter geleistet wird.",§ 239 Knappschaftsausgleichsleistung SGB VI,['Senior/-innen'],['Alter & Rente / Versorgung'],SGB VI,Rentenversicherung,Senior/-innen,,Alter,Rente / Versorgung
"Rente wegen teilweiser Erwerbsminderung, finanzielle Unterstützung für Versicherte, die aufgrund von Krankheit oder Behinderung ihre Erwerbsfähigkeit eingeschränkt haben.",§ 240 Rente wegen teilweiser Erwerbsminderung bei Berufsunfähigkeit SGB VI,['Senior/-innen'],['Alter & Rente / Versorgung'],SGB VI,Rentenversicherung,Senior/-innen,,Alter,Rente / Versorgung
"Rente wegen Erwerbsminderung, Voraussetzungen für eine Rente wegen Erwerbsminderung.",§ 241 Rente wegen Erwerbsminderung SGB VI,['Senior/-innen'],['Alter & Rente / Versorgung'],SGB VI,Rentenversicherung,Senior/-innen,,Alter,Rente / Versorgung
